City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Hermanus,ZA,2021-12-28 17:36:55,-34.4187,19.2345,65.89,70,94,5.28
103,Coihaique,CL,2021-12-28 17:36:55,-45.5752,-72.0662,67.95,34,20,8.05
104,Tortoli,IT,2021-12-28 17:36:55,39.9256,9.6572,62.42,55,0,2.3
105,Kalmunai,LK,2021-12-28 17:36:56,7.4167,81.8167,76.78,79,33,8.55
106,Moranbah,AU,2021-12-28 17:36:56,-22.0016,148.0466,71.69,82,100,17.9
107,Rakiv Lis,UA,2021-12-28 17:36:56,51.6217,24.9243,19.31,85,19,12.55
108,Nuuk,GL,2021-12-28 17:36:57,64.1835,-51.7216,23.61,68,20,3.44
109,Saint-Augustin,CA,2021-12-28 17:36:58,51.226,-58.6502,27.3,81,17,11.5
110,Barrow,US,2021-12-28 17:36:58,71.2906,-156.7887,-20.18,69,1,6.91
111,Lebu,CL,2021-12-28 17:36:59,-37.6167,-73.65,65.61,72,94,9.91
112,Preobrazheniye,RU,2021-12-28 17:36:59,42.9019,133.9064,17.67,78,70,4.25
113,Kanniyakumari,IN,2021-12-28 17:37:00,8.0833,77.5667,77.11,71,59,15.17
114,Hammerfest,NO,2021-12-28 17:37:00,70.6634,23.6821,22.73,73,0,10.36
115,Fortuna,US,2021-12-28 17:37:00,40.5982,-124.1573,43.66,94,90,1.99
116,Kieta,PG,2021-12-28 17:37:01,-6.2167,155.6333,79.39,82,100,1.05
117,Kodiak,US,2021-12-28 17:34:55,57.79,-152.4072,38.95,78,7,4.05
118,Jieshou,CN,2021-12-28 17:37:01,33.2634,115.3611,34.92,48,38,10.36
119,Zanjan,IR,2021-12-28 17:37:02,36.6736,48.4787,32.13,61,11,2.01
120,Clyde River,CA,2021-12-28 17:37:02,70.4692,-68.5914,-19.97,69,20,2.3
121,Labuhan,ID,2021-12-28 17:37:03,-6.8844,112.2051,78.78,84,99,5.73
122,Biltine,TD,2021-12-28 17:37:03,14.5333,20.9167,78.64,17,6,8.5
