City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
179,Riyadh,24.6877,46.7219,broken clouds,50.14,47,55,6.71,SA
180,Khatanga,71.9667,102.5,overcast clouds,-24.25,100,99,4.83,RU
181,Seminole,28.7086,-81.2081,clear sky,76.71,42,0,1.01,US
182,Erdenet,49.0333,104.0833,clear sky,1.33,79,1,4.76,MN
183,Pevek,69.7008,170.3133,overcast clouds,-9.98,100,93,1.32,RU
184,Tezu,27.9167,96.1667,overcast clouds,63.27,41,100,2.95,IN
185,Daru,-9.0763,143.2092,overcast clouds,75.99,92,100,14.41,PG
186,Naze,28.3667,129.4833,few clouds,56.88,65,21,12.77,JP
187,Longyearbyen,78.2186,15.6401,snow,19.24,86,100,5.75,SJ
188,Yulara,-25.2406,130.9889,clear sky,67.84,30,0,6.91,AU
189,Matara,5.9485,80.5353,broken clouds,74.89,90,53,7.18,LK
190,Bluefield,37.2698,-81.2223,overcast clouds,41.04,65,100,1.99,US
191,Zhezkazgan,47.8043,67.7144,overcast clouds,23.58,96,100,2.51,KZ
192,Gidole,5.65,37.3667,broken clouds,65.1,38,72,4.85,ET
193,Fort Nelson,58.8053,-122.7002,scattered clouds,-24.84,95,34,0.96,CA
194,Mahebourg,-20.4081,57.7,broken clouds,75.49,94,75,5.75,MU
195,Ust-Ilimsk,58.0006,102.6619,overcast clouds,5.25,98,93,3.04,RU
196,Kvitok,56.0724,98.4813,overcast clouds,11.35,97,99,3.98,RU
197,Molteno,-31.3968,26.3625,light rain,61.47,72,100,5.1,ZA
198,Port Elizabeth,-33.918,25.5701,light rain,70.11,94,100,11.5,ZA
199,Haizhou,34.5817,119.1289,broken clouds,33.46,79,72,2.68,CN
200,Amga,60.8953,131.9608,broken clouds,-48.57,100,61,1.05,RU
201,Nemuro,43.3236,145.575,scattered clouds,23.38,69,49,7.25,JP
202,Lompoc,34.6391,-120.4579,clear sky,71.56,66,0,6.91,US
203,Souillac,-20.5167,57.5167,broken clouds,75.58,94,75,5.75,MU
204,Platanos,37.6667,21.6167,overcast clouds,58.08,87,100,6.58,GR
205,Bilma,18.6853,12.9164,clear sky,67.23,22,6,4.88,NE
206,Solnechnyy,50.7214,136.6319,few clouds,-18.11,97,24,2.98,RU
207,Tolaga Bay,-38.3667,178.3,overcast clouds,62.11,62,93,16.44,NZ
208,Adrar,20.5022,-10.0711,broken clouds,63.97,18,57,8.97,MR
209,Severo-Kurilsk,50.6789,156.125,light snow,30.81,83,92,19.01,RU
210,Buala,-8.145,159.5921,overcast clouds,79.75,83,100,7.02,SB
211,Kodiak,57.79,-152.4072,overcast clouds,33.31,80,100,0.0,US
212,Winslow,35.0242,-110.6974,clear sky,54.97,42,0,1.99,US
213,Pisco,-13.7,-76.2167,clear sky,78.85,61,0,17.27,PE
214,Koshurnikovo,54.1667,93.3,overcast clouds,8.87,98,100,2.44,RU
215,Northam,51.0333,-4.2167,overcast clouds,46.62,81,91,23.09,GB
216,Diego De Almagro,-26.3667,-70.05,clear sky,82.38,23,0,15.75,CL
217,Ahuimanu,21.4447,-157.8378,broken clouds,78.51,81,75,3.44,US
218,Darovskoy,58.77,47.9564,overcast clouds,9.55,100,100,2.64,RU
219,Westport,41.1415,-73.3579,clear sky,40.32,54,0,1.99,US
220,Pacific Grove,36.6177,-121.9166,few clouds,65.57,81,20,4.0,US
221,Caravelas,-17.7125,-39.2481,overcast clouds,80.53,72,100,11.27,BR
222,Ostrovnoy,68.0531,39.5131,light snow,19.89,94,100,13.49,RU
223,Newport,51.5877,-2.9984,light rain,46.51,84,73,20.0,GB
224,Stara Vyzhivka,51.4376,24.44,overcast clouds,28.63,77,99,17.25,UA
225,Norman Wells,65.282,-126.8329,overcast clouds,3.74,91,100,17.69,CA
226,Terrell,32.736,-96.2753,clear sky,42.96,43,0,11.5,US
227,Geraldton,-28.7667,114.6,overcast clouds,73.81,83,100,13.8,AU
228,Haines Junction,60.7522,-137.5108,overcast clouds,-24.29,99,100,0.81,CA
229,Kosh-Agach,50.0,88.6667,overcast clouds,-2.65,99,100,1.92,RU
230,Mantua,45.1667,10.7833,clear sky,40.71,90,0,2.98,IT
231,Aleksandrovskiy Zavod,50.9237,117.9374,overcast clouds,-9.58,100,86,2.19,RU
232,Marsa Matruh,31.3525,27.2453,clear sky,50.2,81,0,0.0,EG
233,Kulhudhuffushi,6.6221,73.07,scattered clouds,80.55,74,50,8.39,MV
234,Poya,-21.35,165.15,broken clouds,79.45,84,56,4.38,NC
235,Emerald,-23.5333,148.1667,few clouds,77.14,88,18,6.91,AU
236,Smithers,54.7804,-127.1743,light snow,0.54,94,100,3.24,CA
237,Yambio,4.5721,28.3955,overcast clouds,79.47,33,99,3.51,SS
238,Adwa,14.1646,38.8955,broken clouds,63.27,42,75,3.71,ET
239,Constitucion,-35.3333,-72.4167,few clouds,67.57,67,16,14.32,CL
240,Pedernales,18.0384,-71.744,few clouds,83.48,59,13,8.61,DO
241,Avera,33.194,-82.5271,clear sky,65.71,49,3,13.42,US
242,Isangel,-19.55,169.2667,few clouds,82.51,83,20,4.61,VU
243,Oranjemund,-28.55,16.4333,clear sky,62.71,95,2,8.93,NA
244,Nanortalik,60.1432,-45.2371,broken clouds,22.96,78,51,25.37,GL
245,Invercargill,-46.4,168.35,broken clouds,53.02,83,80,5.99,NZ
246,La Palma,33.8464,-118.0467,haze,80.94,63,0,1.01,US
247,Axim,4.8699,-2.2405,clear sky,80.76,79,3,6.85,GH
248,Chimbote,-9.0853,-78.5783,few clouds,74.01,74,21,10.74,PE
249,Baykalovo,57.3981,63.7684,overcast clouds,5.74,96,100,9.71,RU
250,Kapustin Yar,48.5831,45.7372,overcast clouds,39.63,86,100,12.41,RU
251,Zacualpan,21.25,-105.1667,clear sky,92.82,57,0,5.99,MX
252,Charters Towers,-20.1,146.2667,clear sky,78.96,81,7,9.6,AU
253,Bethel,41.3712,-73.414,clear sky,38.68,57,0,1.99,US
254,Tasiilaq,65.6145,-37.6368,light rain,41.16,66,100,21.94,GL
255,Apiai,-24.5094,-48.8425,overcast clouds,63.79,99,97,4.76,BR
256,Huilong,31.8111,121.655,overcast clouds,43.03,73,100,7.85,CN
257,Chernyshevskiy,63.0128,112.4714,light snow,1.09,98,100,2.1,RU
258,Broome,42.2506,-75.833,broken clouds,31.14,59,75,5.01,US
259,Yilan,24.757,121.753,light rain,62.37,99,100,3.33,TW
260,Mayumba,-3.432,10.6554,scattered clouds,77.74,90,47,3.78,GA
261,Serowe,-22.3833,26.7167,broken clouds,75.92,55,73,13.11,BW
262,Samarai,-10.6167,150.6667,overcast clouds,79.66,83,97,4.59,PG
263,Guanica,17.9716,-66.908,few clouds,84.33,70,19,5.99,PR
264,Svetlyy,54.675,20.1347,scattered clouds,31.96,57,43,15.43,RU
265,Imeni Poliny Osipenko,52.4201,136.4853,overcast clouds,-32.76,100,99,1.16,RU
266,Sharlyk,52.9167,54.75,light snow,29.71,96,100,20.65,RU
267,Aykhal,66.0,111.5,overcast clouds,-13.59,99,100,5.86,RU
268,Katsuura,35.1333,140.3,few clouds,30.31,77,24,9.6,JP
269,Luderitz,-26.6481,15.1594,clear sky,64.96,72,0,19.55,NA
270,Talnakh,69.4865,88.3972,overcast clouds,-18.8,96,100,10.4,RU
271,Batagay-Alyta,67.8006,130.4114,clear sky,-36.72,81,2,3.71,RU
272,Georgetown,5.4112,100.3354,few clouds,80.89,79,20,3.44,MY
273,Ketrzyn,54.0768,21.3753,broken clouds,26.58,79,78,9.04,PL
274,Ulladulla,-35.35,150.4667,light rain,71.76,86,100,12.37,AU
275,Monforte De Lemos,42.5216,-7.5142,overcast clouds,48.58,92,88,0.76,ES
276,Tukrah,32.5341,20.5791,overcast clouds,58.3,55,92,15.59,LY
277,Luwuk,-0.9516,122.7875,overcast clouds,78.01,83,99,2.53,ID
278,Meadow Lake,34.8014,-106.5436,overcast clouds,59.77,34,98,4.36,US
279,Comodoro Rivadavia,-45.8667,-67.5,broken clouds,78.66,31,75,13.8,AR
280,Okhotsk,59.3833,143.3,overcast clouds,5.9,85,95,7.56,RU
281,Nhulunbuy,-12.2333,136.7667,overcast clouds,79.41,78,100,3.44,AU
282,Gamba,-2.65,10.0,broken clouds,77.25,89,71,4.21,GA
283,Serik,36.9169,31.0989,overcast clouds,55.74,81,100,2.89,TR
284,Alice Springs,-23.7,133.8833,scattered clouds,62.15,42,31,0.0,AU
285,Jasper,37.2001,-94.3502,overcast clouds,20.26,68,100,4.0,US
286,Lasa,46.6166,10.7002,few clouds,30.11,62,21,1.39,IT
287,Dharchula,29.85,80.5333,overcast clouds,46.81,57,100,6.26,IN
288,Srednekolymsk,67.45,153.6833,overcast clouds,-14.66,97,100,5.48,RU
289,La Ronge,55.1001,-105.2842,broken clouds,-11.99,87,67,5.79,CA
290,Winsum,53.33,6.5208,overcast clouds,39.97,86,100,17.9,NL
291,Mandera,3.9366,41.867,overcast clouds,86.0,33,100,9.73,KE
292,Gorin,51.1983,136.6669,broken clouds,-28.12,100,71,2.13,RU
293,Wenling,28.3669,121.36,overcast clouds,46.9,77,88,10.83,CN
294,Port Lincoln,-34.7333,135.8667,overcast clouds,61.48,78,100,15.28,AU
295,Miles City,46.4083,-105.8406,overcast clouds,1.51,70,100,6.91,US
296,Hamilton,39.1834,-84.5333,overcast clouds,21.76,80,100,3.0,US
297,Jacareacanga,-6.2222,-57.7528,light rain,83.23,76,98,2.89,BR
298,Peniche,39.3558,-9.3811,scattered clouds,54.63,90,47,14.52,PT
299,Kentau,43.5206,68.5094,overcast clouds,34.7,99,100,3.09,KZ
300,Rabo De Peixe,37.8,-25.5833,few clouds,57.27,96,20,16.11,PT
301,Sechura,-5.5569,-80.8222,scattered clouds,77.72,60,45,16.44,PE
302,Port Augusta,-32.5,137.7667,broken clouds,62.71,78,54,14.16,AU
303,Cordoba,-31.4135,-64.1811,clear sky,93.42,25,0,3.0,AR
304,Vestmanna,62.1564,-7.1664,overcast clouds,36.52,87,100,1.14,FO
305,North Bend,43.4065,-124.2243,overcast clouds,58.91,91,100,14.97,US
306,Singaraja,-8.112,115.0882,overcast clouds,77.97,78,99,2.04,ID
307,Cayenne,4.9333,-52.3333,moderate rain,75.24,92,100,5.99,GF
308,Port Hedland,-20.3167,118.5667,overcast clouds,82.45,89,91,10.36,AU
309,Carauari,-4.8828,-66.8958,overcast clouds,80.51,89,99,2.06,BR
310,Aklavik,68.2191,-135.0107,broken clouds,-3.21,82,72,24.47,CA
311,Najran,17.4924,44.1277,clear sky,56.05,54,9,3.4,SA
312,Champerico,14.3,-91.9167,clear sky,93.74,62,0,11.05,GT
313,Bhabua,25.05,83.6167,overcast clouds,60.22,82,98,3.8,IN
314,Pontalina,-17.525,-49.4472,overcast clouds,75.97,86,98,4.23,BR
315,Santa Isabel Do Rio Negro,-0.4139,-65.0192,overcast clouds,88.38,54,94,3.36,BR
316,Beya,53.0533,90.9139,broken clouds,9.91,94,72,3.71,RU
